ticker_i,ticker_j,beta,adf_pvalue
A,DHR,0.5781819172782952,0.018920491362498456
A,IQV,0.5890752610569467,0.005300750302621117
A,MTD,0.10073021967463588,0.0009689861564720995
A,TMO,0.24937803651840573,0.03110121746811316
ABBV,COR,0.7741746536738081,0.044732987668680974
ABT,STE,0.5282648785889701,0.0008384736959059908
ABT,ZTS,0.6300347581153923,0.0012720087162221237
ACN,PAYX,2.6674359450681973,0.028148701920201424
ADBE,ANSS,1.4832777596152835,0.01315292337627653
ADBE,WDAY,2.0014720728836983,0.029584424520311698
ADP,MMC,1.3226315898166918,0.025862220044111428
ADP,PAYX,1.986947766852558,0.014316984384912813
ADP,WM,1.3663135203342436,0.0010938500723331325
ADSK,ANSS,0.7629995869178101,0.0068001884817611566
ADSK,CRM,1.042497769661294,0.010026260679985532
ADSK,CSGP,3.072854520954888,0.017740896744593806
ADSK,WDAY,1.030004597035116,0.011936309259480103
AEE,LNT,1.492523899141158,0.026641451705566987
AEE,XEL,1.256249515864765,0.014491699389306313
AEP,CMS,1.418107131974171,0.0046658454544415175
AFL,AXP,0.3860437764917247,0.024758691436477458
AIZ,ALL,1.1600311536628913,0.03349111725682142
AKAM,EA,0.7560906317807959,0.04155605719914819
ALGN,CRL,1.551754384734742,0.043032121452116726
ALL,CB,0.6305128031368641,0.013434718965498409
ALL,WTW,0.5435674366187602,0.015953565936050202
AMAT,LRCX,2.2201955798792405,0.03823376775078686
AMAT,MPWR,0.2703581602158879,0.00011880816105491294
AMCR,STZ,0.04480290314567711,0.028589925242044303
AMCR,TSN,0.1474454975762256,0.03185015391845382
AMD,MPWR,0.21844159262855087,0.010674312797941295
AMD,TSLA,0.45145934038269975,0.03877209587440132
AME,DOV,0.9560143324581188,0.03749286796148046
AME,J,1.3144703189548996,0.014133324635938955
AMZN,CRM,0.6408798245511956,0.001819110070292792
APO,KKR,1.0847162687418097,0.015069807549530391
AVY,XYL,1.6355714176680953,0.028028815949452307
AZO,ORLY,41.70798479264217,0.004377151151377169
BAC,PNC,0.22566763611630639,0.005267848375545881
BDX,JNJ,1.6386439741643746,0.02439593996668132
BIIB,INCY,3.218054234975502,0.03933481936420216
BKR,CTRA,1.3435673438632263,0.04974072458720589
BKR,EQT,0.879849185546636,0.02046710866307755
BR,ROL,4.31017760597831,0.010881425801116174
BR,VRSK,0.7776843872621525,0.003957409781852333
BRO,ERIE,0.23928502585639325,0.004275010945678348
CAG,CPB,0.6700686404797613,0.030129990209785157
CB,TRV,1.1585927797117732,0.012174032098146574
CDNS,SNPS,0.5200495789613616,0.019338289738719375
CFG,HBAN,2.734463117053161,0.026712168436938813
CHD,PG,0.6458995402993786,0.002193660395642819
CMS,LNT,1.1452926672023493,0.004775738695609005
COF,FITB,3.7700200450697596,0.022375124163906468
COO,DGX,0.7096126529297504,0.014857584383603314
COO,HOLX,1.2836721428313749,0.023518557778681334
COO,LH,0.4535273958428705,0.008918429720763172
COO,WAT,0.30329628286334176,0.02917934178851182
COP,HES,0.7872547502861189,0.02035276260235826
COST,ORCL,5.417286970781888,0.02506600870070323
CRL,RVTY,1.8197947989006906,0.04800265942853755
CRL,TECH,3.0084823070161972,0.002128153223686963
CRM,TTWO,1.427444367509212,0.03209946597498546
CSGP,IDXX,0.16548937115907525,0.0475528495163804
CSX,IEX,0.15039608772322804,0.0164660782733134
CSX,NSC,0.13588149650443274,0.03916465856009858
CSX,UNP,0.14824785735484414,0.0009052582788455632
CTAS,MSI,0.444805617980425,0.03547392748439001
DGX,HOLX,1.8014302517662921,0.019724452561140873
DGX,LH,0.6360469747757169,0.022120551215945312
DHR,RMD,1.0603698829098012,0.008354259048710717
DHR,TMO,0.4294190873021996,0.01424281534095277
DHR,WST,0.6979527469770932,0.0341962701145195
DHR,ZTS,1.2902411297093754,0.04734227072224019
DIS,HAS,1.681925637847329,0.036981766679675225
DPZ,GEN,17.519373535658218,0.013211455411753309
DXCM,WST,0.3160944601589625,0.004495351331971418
EQR,ESS,0.2615156147998751,0.007970111994704699
ERIE,PGR,1.9635858016458416,0.025093080295713433
ETN,PH,0.5190964784059927,0.0013277432708502486
EXPD,JBHT,0.627249305129916,0.0020798975296434812
EXPE,HST,8.435313634816255,0.04435617369749066
EXR,MAA,0.9549542559967402,0.014485452977243548
F,WY,0.34416241438749645,0.008985409012738432
FCX,NUE,0.27851526985837965,0.01765379833328798
FDS,ROL,10.350831113932088,0.026029937950081652
FDS,ROP,0.830483152675949,0.04504418568308347
FDS,VRSK,1.8719692407194775,0.03773715319864581
FDX,IP,5.58352111110038,0.02142308939108389
FITB,PNC,0.21355622749278305,0.005394191338105053
FRT,VTR,2.1067274998803343,0.028775539803190822
FSLR,SMCI,3.406104328581832,0.012441798662819331
FTNT,TSLA,0.23698603390746284,0.008057532080454802
GOOG,GOOGL,1.0048398888180514,0.03336434855719566
HAS,WBD,2.5434493916658822,0.02053857130784256
HBAN,MTB,0.08263417053901544,0.03625370234678487
HD,SHW,1.129540072415743,0.000168421691157895
HOLX,LH,0.34987299149281054,0.01742599070763488
HPQ,STX,0.3866202095857067,0.04225429312633512
HPQ,TEL,0.217147389427872,0.015461091761192569
HUBB,PH,0.7023190304050875,0.02710469763016985
IDXX,WST,1.4895981162125476,0.010488048868199339
IEX,NDSN,0.929504269529644,0.02148925142919527
IEX,NSC,0.8980734605562807,0.0026896562514712188
IEX,UNP,0.9793061949622768,0.01719959152598091
INTU,MSCI,1.0104667240290766,0.023825887281691743
INTU,MSFT,1.6165614606779555,0.014959789286514348
