ticker_i,ticker_j,beta,adf_pvalue
MNST,YUM,0.40590450076463197,0.009481972746608188
MOH,UNH,0.6274891200727266,0.03045639496186972
MS,RJF,0.8096204453712375,0.012648747296086294
MSI,ORCL,2.71359560658863,0.02323775701396146
MTD,TMO,2.471636592300023,0.014393590810690627
MU,QCOM,0.5826172890227811,0.028529450951427726
MU,STX,1.0461602878815373,0.0027696556229545857
NDSN,XYL,2.0585995783301185,0.044226547518496695
NSC,UNP,1.0875551991002208,0.019223848306369248
NTAP,STX,1.0950919184724925,0.041241073877952096
PH,URI,0.8645090624712519,0.014697085232107004
QCOM,TXN,0.7987309759299146,0.015045039619494098
RL,TJX,1.7364815412222865,0.006179825517853684
RL,TPR,3.217962079422162,0.045484937533321966
RMD,STE,1.0064553201381998,0.029956558816838546
RMD,WST,0.6453437083606769,0.04953191984786275
ROL,VRSK,0.17897698063941614,0.006276192672510357
RVTY,TECH,1.624421110032116,0.044084817011695115
STZ,SYY,3.178384040094288,0.02246565529895327
TFC,USB,0.9315397426188432,0.02610771152496618
TMO,ZTS,3.001345033806983,0.0257278872933025
TTWO,WDAY,0.6705202478126631,0.006554917118618618
VLO,XOM,1.15537955422534,0.047221238298385176
